Trade Name,Address,City,State,Zip,Occupation Code,Owner Name,Location 1
BUBBA GUMP SHRIMP CO REST & MKT - LIC DEPT,429 DECATUR ST,NEW ORLEANS,LA,70130-1025,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),BUBBA GUMP SHRIMP CO  RESTAURANTS INC,"429 DECATUR ST
NEW ORLEANS, LA 70130-1025
(29.95465368200007, -90.06473914399999)"
BUD RIP'S BAR,900 PIETY ST,NEW ORLEANS,LA,70117,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),"BUD RIP'S OLD 9TH WARD B, LLC","900 PIETY ST
NEW ORLEANS, LA 70117
(29.96494980600005, -90.04225106499996)"
BUD'S BROILER #9,3151 CALHOUN ST,NEW ORLEANS,LA,70125-4201,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"MIKHAIL ENTERPRISES, INC","3151 CALHOUN ST
NEW ORLEANS, LA 70125-4201
(29.947376356000063, -90.11313368099997)"
BUDS BROILER,500 CITY PARK AVE,NEW ORLEANS,LA,70119,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"SHANNON M PRINCE, LLC","500 CITY PARK AVE
NEW ORLEANS, LA 70119
(29.98347388800005, -90.10591348299994)"
BUFFA'S BAR & LOUNGE,1001 ESPLANADE AVE,NEW ORLEANS,LA,70116,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),KS VENTURES INC,"1001 ESPLANADE AVE
NEW ORLEANS, LA 70116
(29.96539458700005, -90.06266373699998)"
BUFFALO WILD WINGS,4150 GENERAL DE GAULLE DR,NEW ORLEANS,LA,70131,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"NOLA WINGS ALGIERS, LLC","4150 GENERAL DE GAULLE DR
NEW ORLEANS, LA 70131
(29.920486396000058, -90.01262876199996)"
BULLDOG (THE),3236 MAGAZINE ST,NEW ORLEANS,LA,70115-2341,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),THE BULLDOG INC,"3236 MAGAZINE ST
NEW ORLEANS, LA 70115-2341
(29.923514904000058, -90.08741935999996)"
BULLET'S SPORTS BAR,2441 A P TUREAUD AVE,NEW ORLEANS,LA,70119,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),BULLET'S SPORTS BAR LLC,"2441 A P TUREAUD AVE
NEW ORLEANS, LA 70119
(29.982083084000067, -90.06733854399994)"
BURRITOS GRILLE,7009 READ BLVD,NEW ORLEANS,LA,70127,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"BURRITOS GRILLE,LLC","7009 READ BLVD
NEW ORLEANS, LA 70127
(30.03849174800007, -89.97701125199995)"
BUSY BEE FOOD STORE,2401 ORLEANS AVE,NEW ORLEANS,LA,70119-5027,1101 - CONVENIENCE STORES,ABUALI FADI A,"2401 ORLEANS AVE
NEW ORLEANS, LA 70119-5027
(29.96858410300007, -90.07941445799997)"
CAFE AT THE SQUARE,500 ST CHARLES AVE,NEW ORLEANS,LA,70130,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"PARK SQUARE RESTAURANT GROUP, LLC","500 ST CHARLES AVE
NEW ORLEANS, LA 70130
(29.949141652000037, -90.07068016199997)"
CAFE BEIGNET IV,311 BOURBON ST,NEW ORLEANS,LA,70130-2212,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"CAFE BEIGNET, LLC","311 BOURBON ST
NEW ORLEANS, LA 70130-2212
(29.955740770000034, -90.06827304499996)"
CAFE CHEO LEO,14349 CHEF MENTEUR HWY,NEW ORLEANS,LA,70129,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),CHEO LEO LLC,"14349 CHEF MENTEUR HWY
NEW ORLEANS, LA 70129
(30.03596723900006, -89.91304916199994)"
CAFE CHOT NHO,14399 CHEF MENTEUR HWY,NEW ORLEANS,LA,70129,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"CAFE CHOT NHO, INC.","14399 CHEF MENTEUR HWY
NEW ORLEANS, LA 70129
(30.03633712100003, -89.91188881399995)"
CAFE DAUPHINE,5229 DAUPHINE ST,NEW ORLEANS,LA,70117,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"CAFE DAUPHINE, LLC.","5229 DAUPHINE ST
NEW ORLEANS, LA 70117
(29.958937199000047, -90.02080479599994)"
CAFE DEGAS,3127 ESPLANADE AVE,NEW ORLEANS,LA,70119-3119,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),CAFE DEGAS INC,"3127 ESPLANADE AVE
NEW ORLEANS, LA 70119-3119
(29.98025441300007, -90.08434391899999)"
CAFE ENVIE,1241 DECATUR ST,NEW ORLEANS,LA,70116,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),ENVIE FQ LLC,"1241 DECATUR ST
NEW ORLEANS, LA 70116
(29.961409996000043, -90.05863305499997)"
Cafe Fleur De Lis,307 CHARTRES ST,NEW ORLEANS,LA,70130,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),307 CHARTRES LLC,"307 CHARTRES ST
NEW ORLEANS, LA 70130
(29.95446058500005, -90.06654231799996)"
CAFE FRERET,7329 FRERET ST,NEW ORLEANS,LA,70118,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"SAUCE IT UP, L.L.C.","7329 FRERET ST
NEW ORLEANS, LA 70118
(29.94135453100006, -90.12550572999999)"
CAFE ISTANBUL,2372 ST CLAUDE AVE,NEW ORLEANS,LA,70117,2301 - MOTION PICTURE THEATER (EX DRIVE-INS),"AYDIN & PERKINS,LLC","2372 ST CLAUDE AVE
NEW ORLEANS, LA 70117
(29.968813407000027, -90.05229896199995)"
CAFE LAFITTE IN EXILE,901 BOURBON ST,NEW ORLEANS,LA,70116-3120,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),THOMAS G WOOD INC,"901 BOURBON ST
NEW ORLEANS, LA 70116-3120
(29.96033030800004, -90.06415248499997)"
CAFE MASPERO,601 DECATUR ST,NEW ORLEANS,LA,70130,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"CAFE MASPERO DECATUR, LLC","601 DECATUR ST
NEW ORLEANS, LA 70130
(29.955990815000064, -90.06349222799997)"
CAFE RECONCILE CATERING,1631 ORETHA CASTLE HALEY BLVD,NEW ORLEANS,LA,70113,3364 - RECEPTION HALL,CAFE RECONCILE CATERING LLC,"1631 ORETHA CASTLE HALEY BLVD
NEW ORLEANS, LA 70113
(29.939828910000074, -90.08022451199997)"
CAFE ROSE NICAUD,632 FRENCHMEN ST,NEW ORLEANS,LA,70116-2002,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),PROJECT RENAISSANCE LLC,"632 FRENCHMEN ST
NEW ORLEANS, LA 70116-2002
(29.963865963000046, -90.05782048299994)"
CAFE TRANG HONG THUY,4637 ALCEE FORTIER BLVD,NEW ORLEANS,LA,70129-2140,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),TRANG HONG THUY INC,"4637 ALCEE FORTIER BLVD
NEW ORLEANS, LA 70129-2140
(30.03724281500007, -89.91175169199994)"
CAFE' MINH,4139 CANAL ST,NEW ORLEANS,LA,70119,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),CAFE' MINH INC.,"4139 CANAL ST
NEW ORLEANS, LA 70119
(29.975194744000078, -90.10133431499997)"
CAFE' NAVARRE,800 NAVARRE AVE,NEW ORLEANS,LA,70124,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"CAFE' NAVARRE, LLC","800 NAVARRE AVE
NEW ORLEANS, LA 70124
(29.989662794000026, -90.10800372199998)"
CAJUN COUNTRY STORE,400 CANAL ST,NEW ORLEANS,LA,70130,1101 - CONVENIENCE STORES,DEEP SOUTH GROCERY CO IN,"400 CANAL ST
NEW ORLEANS, LA 70130
(29.95130657800007, -90.06659740199996)"
CAJUN KING SEAFOOD,2514 BAYOU RD,NEW ORLEANS,LA,70116,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),BAYOU NOLA LLC,"2514 BAYOU RD
NEW ORLEANS, LA 70116
(29.976299424000047, -90.07641042999995)"
CAJUN MARKET,801 CONVENTION CENTER BLVD,NEW ORLEANS,LA,70130,"1110 - BEER, WINE & LIQUOR STORES",MAGNOLIA ENTERPRISES INC,"801 CONVENTION CENTER BLVD
NEW ORLEANS, LA 70130
(29.944229474000053, -90.06472171199994)"
CAJUN MIKE'S,116 BARONNE ST,NEW ORLEANS,LA,70112,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),HUMMEL ENTERTAINMENT GROUP LLC,"116 BARONNE ST
NEW ORLEANS, LA 70112
(29.954028479000044, -90.07127243399998)"
CAJUN SEAFOOD 2,1901 ALMONASTER AVE,NEW ORLEANS,LA,70117,1101 - CONVENIENCE STORES,RACHEL SEAFOOD INC,"1901 ALMONASTER AVE
NEW ORLEANS, LA 70117
(29.97736103300008, -90.04755040899994)"
CAJUN WILLS,2127 ORLEANS AVE,NEW ORLEANS,LA,70116,1106 - GROCERY (EXC CONVENIENCE) STORES,CAJUN ORLEANS LLC,"2127 ORLEANS AVE
NEW ORLEANS, LA 70116
(29.96715412100008, -90.07729541199996)"
CANAL MART &  EATERY,2700 CANAL ST,NEW ORLEANS,LA,70119,1101 - CONVENIENCE STORES,VIENNE ENTERPRISE LLC,"2700 CANAL ST
NEW ORLEANS, LA 70119
(29.96560660700004, -90.08765672999994)"
CANAL SHELL,4701 CANAL ST,NEW ORLEANS,LA,70119,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"DIAZ II, INC","4701 CANAL ST
NEW ORLEANS, LA 70119
(29.979053735000036, -90.10705424199995)"
CANAL STORE #150,2701 CANAL ST,NEW ORLEANS,LA,70119,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,2701 CANAL STREET LLC,"2701 CANAL ST
NEW ORLEANS, LA 70119
(29.965873936000037, -90.08757376499995)"
CANAL STREET BISTRO,3903 CANAL ST,NEW ORLEANS,LA,70119,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"CANAL STREET BISTRO, LLC","3903 CANAL ST
NEW ORLEANS, LA 70119
(29.973303849000047, -90.09854463999994)"
CANE & TABLE,1113 DECATUR ST,NEW ORLEANS,LA,70116,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"FOR THE PEOPLE, LLC","1113 DECATUR ST
NEW ORLEANS, LA 70116
(29.960160923000046, -90.05976229099997)"
CANSECO'S ELYSIAN FIELDS,5217 ELYSIAN FIELDS AVE,NEW ORLEANS,LA,70122,1106 - GROCERY (EXC CONVENIENCE) STORES,"CANSECO'S ELYSIAN FIELDS, LLC","5217 ELYSIAN FIELDS AVE
NEW ORLEANS, LA 70122
(30.012272868000025, -90.06007916899995)"
CANSECO'S ESPLANADE MARKET,3135 ESPLANADE AVE,NEW ORLEANS,LA,70119,1106 - GROCERY (EXC CONVENIENCE) STORES,CANSECO'S ESPLANADE LLC,"3135 ESPLANADE AVE
NEW ORLEANS, LA 70119
(29.98050445800004, -90.08469421299998)"
CAPT SAL'S SEAFOOD & CHICKEN  LLC,10038 CHEF MENTEUR HWY,NEW ORLEANS,LA,70127,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),CAPT SAL'S SEAFOOD & CHICKEN BOX LLC,"10038 CHEF MENTEUR HWY
NEW ORLEANS, LA 70127
(30.018553956000062, -89.96756361399997)"
CAPTAIN SAL'S SEAFOOD & CHICKEN,3168 ST CLAUDE AVE,NEW ORLEANS,LA,70117,1101 - CONVENIENCE STORES,"VU & SONS, LLC","3168 ST CLAUDE AVE
NEW ORLEANS, LA 70117
(29.967269223000073, -90.04282908499994)"
CARMO,527 JULIA ST,NEW ORLEANS,LA,70130,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),CARMO LLC,"527 JULIA ST
NEW ORLEANS, LA 70130
(29.94551772500006, -90.06985512799997)"
CARNIVAL CLUB,2401 ELYSIAN FIELDS AVE,NEW ORLEANS,LA,70117-7935,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),"MALONEY CINQUE, LTD","2401 ELYSIAN FIELDS AVE
NEW ORLEANS, LA 70117-7935
(29.982109587000025, -90.05772851399996)"
CARROLLTON BOOSTER CLUB,8321 FORSHEY ST,NEW ORLEANS,LA,70118-4437,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),"CARROLLTON BOOSTER CLUB, INC","8321 FORSHEY ST
NEW ORLEANS, LA 70118-4437
(29.96407327600008, -90.11559161199995)"
CARROLLTON STATION,8140 WILLOW ST,NEW ORLEANS,LA,70118,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),EJO INCORPORATED,"8140 WILLOW ST
NEW ORLEANS, LA 70118
(29.949388240000076, -90.12907895599994)"
CARVER THEATER,2101 ORLEANS AVE,NEW ORLEANS,LA,70016,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),CARVER THEATER PRODUCTIONS LLC,"2101 ORLEANS AVE
NEW ORLEANS, LA 70016
(29.966826196000056, -90.07677241199997)"
CASA BORREGA,1719 ORETHA CASTLE HALEY BLVD,NEW ORLEANS,LA,70113,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),CASA BORREGA INC,"1719 ORETHA CASTLE HALEY BLVD
NEW ORLEANS, LA 70113
(29.939367997000033, -90.08055521699998)"
CASAMENTO'S RESTAURANT,4330 MAGAZINE ST,NEW ORLEANS,LA,70115-2737,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),CASAMENTO'S RESTAURANT LLC,"4330 MAGAZINE ST
NEW ORLEANS, LA 70115-2737
(29.920803585000044, -90.10104854899998)"
CASTNET,10826 HAYNE BLVD,NEW ORLEANS,LA,70127-1410,1104 - FISH & SEAFOOD MARKETS,CASTNET SEAFOOD INC,"10826 HAYNE BLVD
NEW ORLEANS, LA 70127-1410
(30.051835312000037, -89.97909680299995)"
CAT'S MEOW,701 BOURBON ST,NEW ORLEANS,LA,70116,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),"CAT'S 701 BOURBON, LLC","701 BOURBON ST
NEW ORLEANS, LA 70116
(29.958730941000056, -90.06560205599999)"
CATTY CAR CORNER,1340 POYDRAS ST,NEW ORLEANS,LA,70112,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),CATTY CAR CORNER LLC,"1340 POYDRAS ST
NEW ORLEANS, LA 70112
(29.95115468800003, -90.07722973099999)"
CAVA,789 HARRISON AVE,NEW ORLEANS,LA,70124,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"CAVA, LLC","789 HARRISON AVE
NEW ORLEANS, LA 70124
(30.00465743700005, -90.10588813199996)"
CELEBRATION DISTILLATION CORPORATION,2815 FRENCHMEN ST,NEW ORLEANS,LA,70122,0144 - WINE/DISTILLED ALCOHOLIC BEV WHLSRS,CELEBRATION DISTILLATION CORPORATION,"2815 FRENCHMEN ST
NEW ORLEANS, LA 70122
(29.98650323700008, -90.05953874899996)"
CELEBRATION HALL,1701 ST BERNARD AVE,NEW ORLEANS,LA,70116-1338,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),"STEMLEY, GEORGE W","1701 ST BERNARD AVE
NEW ORLEANS, LA 70116-1338
(29.97413464400006, -90.06636256199994)"
CELEBRATIONS,2700 GENERAL DE GAULLE DR,NEW ORLEANS,LA,70114,3364 - RECEPTION HALL,CELEBRATIONS LLC,"2700 GENERAL DE GAULLE DR
NEW ORLEANS, LA 70114
(29.928806955000027, -90.02946727699998)"
CELLARDOOR NOLA,916 LAFAYETTE ST,NEW ORLEANS,LA,70113,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"CELLARDOOR NOLA, LLC","916 LAFAYETTE ST
NEW ORLEANS, LA 70113
(29.94895383000005, -90.07389617999996)"
CENTER PLATE,945 MAGAZINE ST,NEW ORLEANS,LA,70130,3312 - FOOD SERVICE CONTRACTORS,SERVICE AMERICA CORP,"945 MAGAZINE ST
NEW ORLEANS, LA 70130
(29.942899741000076, -90.06998072699997)"
CENTERFOLDS/FAIS DEAUX DEAUX,411 BOURBON ST,NEW ORLEANS,LA,70130,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),THE HOUSE OF THE RISING SUN ON BOURBON ST INC,"411 BOURBON ST
NEW ORLEANS, LA 70130
(29.956550824000033, -90.06753212799998)"
CENTERPLATE,1400 POYDRAS ST,NEW ORLEANS,LA,70113,3312 - FOOD SERVICE CONTRACTORS,SERVICE AMERICA CORPORATION,"1400 POYDRAS ST
NEW ORLEANS, LA 70113
(29.95132835000004, -90.07773771199999)"
CENTERPLATE,1501 GIROD ST,NEW ORLEANS,LA,70113-3124,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),SERVICE AMERICA CORP,"1501 GIROD ST
NEW ORLEANS, LA 70113-3124
(29.949441706000073, -90.08094695899996)"
CENTERPLATE,1650 JULIA ST,NEW ORLEANS,LA,70112,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),SERVICE AMERICA CORP,"1650 JULIA ST
NEW ORLEANS, LA 70112
(29.948473445000047, -90.08098940199994)"
CenterPlate,900 Convention Center Blvd,NEW ORLEANS,LA,70130,3312 - FOOD SERVICE CONTRACTORS,Service America Corp.,"900 Convention Center Blvd
NEW ORLEANS, LA 70130
(29.94360148100003, -90.06449932199996)"
CENTRAL BLUES,3000 DRYADES ST,NEW ORLEANS,LA,70115,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),"CENTRAL BLUES,LLC","3000 DRYADES ST
NEW ORLEANS, LA 70115
(29.932182242000067, -90.09007647699997)"
CENTRAL CITY GROCERY #3,2611 WASHINGTON ave,NEW ORLEANS,LA,70113,1101 - CONVENIENCE STORES,"CENTRAL CITY GROCERY #3, INC.","2611 WASHINGTON ave
NEW ORLEANS, LA 70113
(29.939577713000062, -90.09233614599998)"
CENTRAL GROCERY CO.,923 DECATUR ST,NEW ORLEANS,LA,70116-3307,1101 - CONVENIENCE STORES,CENTRAL GROCERY CO. LLC,"923 DECATUR ST
NEW ORLEANS, LA 70116-3307
(29.95872717900005, -90.06105677299996)"
CHARCOAL'S GOURMET BURGER BAR,2200 MAGAZINE ST,NEW ORLEANS,LA,70130,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"CHARCOAL'S, LLC","2200 MAGAZINE ST
NEW ORLEANS, LA 70130
(29.929446851000023, -90.07692437699995)"
CHARLIES STEAK HOUSE,4510 DRYADES ST,NEW ORLEANS,LA,70115,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),DRYADES ENTERTAINMENT LLC,"4510 DRYADES ST
NEW ORLEANS, LA 70115
(29.929328174000034, -90.10381930699998)"
CHART ROOM,300 CHARTRES ST,NEW ORLEANS,LA,70130,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),CHART ROOM INC,"300 CHARTRES ST
NEW ORLEANS, LA 70130
(29.95434074700006, -90.06657803799999)"
CHARTRES HOUSE CAFE',601 CHARTRES ST,NEW ORLEANS,LA,70130-2111,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),CHARTRES HOUSE LLC,"601 CHARTRES ST
NEW ORLEANS, LA 70130-2111
(29.956739798000058, -90.06449240799998)"
CHATEAU DU LAC WAREHOUSE,857 FULTON ST,NEW ORLEANS,LA,70130,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),DEMOSTHENES GROUP LLC,"857 FULTON ST
NEW ORLEANS, LA 70130
(29.94352821600006, -90.06528205499995)"
CHEF CHEVRON,13301 CHEF MENTEUR HWY,NEW ORLEANS,LA,70129,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"TRAN FAMILY VENTURES, LLC","13301 CHEF MENTEUR HWY
NEW ORLEANS, LA 70129
(30.031235655000046, -89.92760216899995)"
CHEF DISCOUNT MARKET,10833 CHEF MENTEUR HWY,NEW ORLEANS,LA,70127-4223,1106 - GROCERY (EXC CONVENIENCE) STORES,"AMA DISCOUNT, INC","10833 CHEF MENTEUR HWY
NEW ORLEANS, LA 70127-4223
(30.020717941000044, -89.95961747899997)"
CHEF DUKES CAFE GIOVANNI,117 DECATUR ST,NEW ORLEANS,LA,70130-2313,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),DABCO LLC,"117 DECATUR ST
NEW ORLEANS, LA 70130-2313
(29.952178522000054, -90.06697331599997)"
CHEF MENTEUR SHELL,9232 CHEF MENTEUR HWY,NEW ORLEANS,LA,70127,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,WYNVIA FOUR INC,"9232 CHEF MENTEUR HWY
NEW ORLEANS, LA 70127
(30.015993586000036, -89.97794452099998)"
CHEZ JOEY,608 IBERVILLE ST,NEW ORLEANS,LA,70130,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),Iberville Ladies LLC.,"608 IBERVILLE ST
NEW ORLEANS, LA 70130
(29.953666662000046, -90.06763583299994)"
CHEZ MARCEL ,845 CARONDELET ST,NEW ORLEANS,LA,70130,1105 - FULL SVC RESTAURANTS (TABLE SERVICE), CHEZ MARCEL LLC ,"845 CARONDELET ST
NEW ORLEANS, LA 70130
(29.945249244000024, -90.07324053199994)"
CHEZ NOUS CHARCUTERIE,5701 MAGAZINE ST,NEW ORLEANS,LA,70115,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),CHEZ NOUS CHARCUTERIE IN,"5701 MAGAZINE ST
NEW ORLEANS, LA 70115
(29.921410636000076, -90.11808335499995)"
CHIBA,8312 OAK ST,NEW ORLEANS,LA,70118,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),CHIBA NEW ORLEANS LLC,"8312 OAK ST
NEW ORLEANS, LA 70118
(29.948978028000056, -90.13182830099998)"
CHICKEN BOX CAFETERIA & MARKET,3101 ELYSIAN FIELDS AVE,NEW ORLEANS,LA,70112,1101 - CONVENIENCE STORES,"ABERTA, INC","3101 ELYSIAN FIELDS AVE
NEW ORLEANS, LA 70112
(29.98993250600006, -90.05833312099998)"
CHICKIE WAHWAH,2828 CANAL ST,NEW ORLEANS,LA,70119,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),2828 CANAL LLC,"2828 CANAL ST
NEW ORLEANS, LA 70119
(29.966846462000035, -90.08948655299997)"
China  Wall Restaurant,1112 Canal St,NEW ORLEANS,LA,70112,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),Zheng Li LLC,"1112 Canal St
NEW ORLEANS, LA 70112
(29.95584678000006, -90.07326703399997)"
CHINESE TEA GARDEN,5226-28 ELYSIAN FIELDS AVE,NEW ORLEANS,LA,70122,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),CHINESE TEA GARDEN INC,"5226-28 ELYSIAN FIELDS AVE
NEW ORLEANS, LA 70122
(30.011848625000027, -90.06044347999995)"
CHIPPEWA FOOD STORE,1684 CHIPPEWA ST,NEW ORLEANS,LA,70130-4668,1101 - CONVENIENCE STORES,"ESMAIL, ASAD","1684 CHIPPEWA ST
NEW ORLEANS, LA 70130-4668
(29.929791383000065, -90.07013052299999)"
CHOPHOUSE NEW ORLEANS,322 MAGAZINE ST,NEW ORLEANS,LA,70130,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"MAGAZINE STEAKHOUSE,LLC","322 MAGAZINE ST
NEW ORLEANS, LA 70130
(29.949951706000036, -90.06784093899995)"
CHRIS OWENS,500 BOURBON ST,NEW ORLEANS,LA,70130-2106,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),"CHRIS OWENS INC; OWENS, SAL","500 BOURBON ST
NEW ORLEANS, LA 70130-2106
(29.957098270000074, -90.06696966099997)"
CHROMATIC,635 BOURBON ST,NEW ORLEANS,LA,70116,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),635 BOURBON ST LLC,"635 BOURBON ST
NEW ORLEANS, LA 70116
(29.958145647000038, -90.06612053199996)"
CHUCK'S SPORT BAR,510 GRAVIER ST,New Orleans,LA,70130,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),CHUCK'S INC,"510 GRAVIER ST
New Orleans, LA 70130
(29.950635009000052, -90.06799073599996)"
CIBUGNU,709 ST CHARLES AVE,NEW ORLEANS,LA,70130,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),BUONGUSTAIO LLC,"709 ST CHARLES AVE
NEW ORLEANS, LA 70130
(29.94715972700004, -90.07135078999994)"
CIRCLE BAR,1032 ST CHARLES AVE,NEW ORLEANS,LA,70130-3906,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),DRINK INC,"1032 ST CHARLES AVE
NEW ORLEANS, LA 70130-3906
(29.942845584000054, -90.07254800999999)"
CIRCLE FOOD STORE,1522 ST BERNARD AVE,NEW ORLEANS,LA,70116,1106 - GROCERY (EXC CONVENIENCE) STORES,CIRCLE FOOD STORE INC,"1522 ST BERNARD AVE
NEW ORLEANS, LA 70116
(29.972284080000065, -90.06534624899996)"
CIRCLE H MEAT MARKET,1600 ST BERNARD AVE,NEW ORLEANS,LA,70116,1103 - MEAT MARKETS,LAYLA LLC,"1600 ST BERNARD AVE
NEW ORLEANS, LA 70116
(29.97347553900005, -90.06620700399998)"
CIRCLE K #2707672,704 HOWARD AVE,NEW ORLEANS,LA,70130,1101 - CONVENIENCE STORES,"CIRCLE K STORES, INC.","704 HOWARD AVE
NEW ORLEANS, LA 70130
(29.94359571900003, -90.07313567399996)"
CIRCLE K #8276,6050 MAGAZINE ST,NEW ORLEANS,LA,70118-5824,1101 - CONVENIENCE STORES,CIRCLE K STORES INC,"6050 MAGAZINE ST
NEW ORLEANS, LA 70118-5824
(29.92250435300008, -90.12278864999996)"
CIRO'S COTE SUD LLC,7918 MAPLE ST,NEW ORLEANS,LA,70118-2729,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),CIRO'S COTE SUD LLC,"7918 MAPLE ST
NEW ORLEANS, LA 70118-2729
(29.943418268000073, -90.13148837799997)"
CITY WHOLESALE LIQUOUR  CO,4340 WASHINGTON AVE,NEW ORLEANS,LA,70125-1843,"1501 - DURABLE GOODS WHLSRS, OTHER MISC",CITY WHOLS LIQ CO INC,"4340 WASHINGTON AVE
NEW ORLEANS, LA 70125-1843
(29.954126423000048, -90.10248774899998)"
CIVIC THEATRE,533 BARONNE ST,NEW ORLEANS,LA,70113,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),CIVIC THEATRE OPERATING COMPANY LLC,"533 BARONNE ST
NEW ORLEANS, LA 70113
(29.949339844000065, -90.07331082099995)"
CK'S  HOT SHOPPE,1433 BARONNE ST,NEW ORLEANS,LA,70113,1106 - GROCERY (EXC CONVENIENCE) STORES,"CK'S HOT SHOPPE, LLC","1433 BARONNE ST
NEW ORLEANS, LA 70113
(29.940577893000068, -90.07790496899997)"
CLAIRE'S POUR HOUSE,233 DECATUR ST,NEW ORLEANS,LA,70130,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),NOEL REAL ESTATE LLC,"233 DECATUR ST
NEW ORLEANS, LA 70130
(29.953409704000023, -90.06588321199996)"
CLANCY'S RESTAURANT,6100 ANNUNCIATION ST,NEW ORLEANS,LA,70118-5709,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"ANNUNCIATION FOODS, INC","6100 ANNUNCIATION ST
NEW ORLEANS, LA 70118-5709
(29.91911434000008, -90.12514045699999)"
CLUB 1,13791 CHEF MENTEUR HWY,NEW ORLEANS,LA,70129,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),"TRINH CHAU, LLC","13791 CHEF MENTEUR HWY
NEW ORLEANS, LA 70129
(30.03331699100005, -89.92135941799995)"
CLUB CARRIBEAN,2441 BAYOU RD,NEW ORLEANS,LA,70119,1126 - DRINKING PLACES (ALCOHOLIC BEVERAGES),CLUB CARRIBEAN LLC,"2441 BAYOU RD
NEW ORLEANS, LA 70119
(29.975495489000025, -90.07579398799999)"
